country,city,name,year,week,latitude,longitude,counts_week,nodes,edges,k_avg,intersection_count,streets_per_node_avg,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,circuity_avg,self_loop_proportion,bike_points,bus_stops,restaurants,shop_list,cycle_length,dist_to_greenspace,dist_to_bike,build_area,ndvi_mean,ndvi_std,dem_mean,dem_std,lst_mean,lst_std,pop_mean,pop_std,landuse_entropy,3_way_int_count,4_way_int_count
UK (Scotland),Aberdeen,Ellon Road 2 - Denmore,2022,38,57.19491,-2.09098,214,150,307,4.093333333,88,2.22,13874.958,45.19530293,7292.263,45.29355901,161,1.121989255,0.01242236,0,2,0,0,1478.906852,0,122,30091.51673,0.429108715,0.196978256,34.44015444,3.381657537,281.129845,0.548129683,0.609996796,0.520579171,0.801608877,0,0
UK (Scotland),Aberdeen,Maidencraig 1,2022,38,57.14844,-2.18082,283,382,992,5.193717277,313,2.772251309,43226.155,43.57475302,21795.355,43.41704183,502,1.067069787,0.001992032,0,0,0,0,1632.655799,136,146,26931.80254,0.485388755,0.132303872,104.0116279,4.053405648,281.2229705,0.528790894,5.616677989,8.271094144,0.79808552,3,1
UK (Scotland),Aberdeen,A9119 Queens Road (Eastbound),2022,38,57.140945,-2.157131,307,321,810,5.046728972,274,2.84423676,44393.188,54.80640494,22769.717,53.0762634,429,1.045033274,0.004662005,0,2,0,0,1242.450278,71,154,87040.19722,0.385765475,0.148769047,85.75875486,2.79454917,282.3835878,0.284324655,12.74432246,3.611907632,0.768434785,12,0
UK (Scotland),Aberdeen,Parkway 1 East of Balgownie Road,2022,38,57.1896,-2.10142,325,323,705,4.365325077,221,2.414860681,36358.685,51.57260284,18936.357,51.31804065,369,1.116746811,0.013550136,0,0,0,0,755.5646149,35,118,116300.772,0.365138081,0.193544801,54.64864865,3.140854854,281.4244489,0.514756763,3.394479503,4.288447407,0.854218227,8,0
UK (Scotland),Aberdeen,Riverside Path,2022,38,57.12781,-2.11599,332,296,674,4.554054054,237,2.719594595,34652.866,51.41374777,18817.19,50.99509485,369,1.070965403,0,0,3,0,0,747.5376436,124,114,51628.23027,0.37285402,0.222039872,10.43023256,4.239553594,281.4886916,1.030824595,10.88298543,14.21157175,0.896088667,2,0
UK (Scotland),Aberdeen,A96 Great Northern Road (Westbound),2022,38,57.172293,-2.134824,346,221,512,4.633484163,175,2.746606335,30551.916,59.67171094,16837.965,60.56821942,278,1.057135871,0,0,2,2,0,741.8560069,110,141,48653.54379,0.459900662,0.15055861,47.83203125,12.19179049,280.5098796,0.343488174,22.22234599,17.77873071,0.835641564,6,3
UK (Scotland),Aberdeen,F&B Way nr Train Station,2022,38,57.20704,-2.19316,348,237,513,4.329113924,158,2.371308017,24668.801,48.08733138,12845.331,47.93033955,268,1.11026145,0.003731343,6,0,0,0,721.1231573,0,48,56484.48279,0.366063383,0.16845855,58.42084942,1.71651912,282.5244329,0.283588159,2.915156364,5.233860048,0.832148261,1,0
UK (Scotland),Aberdeen,Wellington Rd,2022,38,57.11453,-2.08951,349,245,548,4.473469388,194,2.697959184,29324.883,53.51256022,16599.382,53.20314744,312,1.120004967,0.009615385,0,2,1,0,0,70,109,70387.26707,0.346960015,0.218811932,80.05058366,2.927358148,281.5604206,0.426159466,6.433299672,7.290299065,0.81916274,4,0
UK (Scotland),Aberdeen,Seaton Park,2022,38,57.171677,-2.1083184,452,526,1409,5.357414449,445,2.802281369,50665.42,35.95842441,25703.219,36.2017169,710,1.066042947,0.001408451,0,3,0,0,1704.519633,135,118,18663.43187,0.474793817,0.17370965,23.27131783,8.771652667,280.1545205,0.862210728,11.47527186,15.75842492,0.816310437,5,0
UK (Scotland),Aberdeen,Auchmill Road,2022,38,57.17740334,-2.167250817,525,348,833,4.787356322,273,2.663793103,35654.896,42.8029964,19503.458,43.43754566,449,1.086275047,0.002227171,0,2,0,1,707.0672339,68,68,53932.03115,0.362511542,0.184540566,48.22007722,9.080603368,281.0475084,0.44680959,10.67550151,14.57743638,0.915550736,10,3
UK (Scotland),Aberdeen,Shell Cycle Path,2022,38,57.12639,-2.0984,556,262,608,4.641221374,206,2.694656489,31791.839,52.28920888,17237.9,52.55457317,328,1.105584727,0.006097561,0,0,0,0,491.9051688,35,108,63825.2202,0.446171754,0.226329839,17.27906977,8.498952735,280.4080026,0.50174358,2.969326477,4.275941461,0.869013989,9,0
UK (Scotland),Aberdeen,A93 Great Western Road (Eastbound),2022,38,57.139905,-2.114897,565,448,981,4.379464286,321,2.495535714,42830.94,43.6604893,22957.092,43.5618444,527,1.057670657,0.0056926,3,6,4,1,529.7638704,12,68,121861.621,0.283937539,0.185972919,29.17898833,2.488703299,282.3644426,0.337024482,57.64106021,41.14262553,0.701707821,8,1
UK (Scotland),Aberdeen,Tillydrone Rd,2022,38,57.17128,-2.1092,593,546,1465,5.366300366,468,2.827838828,52240.147,35.65880341,26514.701,35.73409838,742,1.062310208,0.001347709,0,4,0,0,1957.53241,2,146,32203.4644,0.465203973,0.175083136,25.89922481,6.791290548,280.5717108,0.95155466,14.35561371,15.71754213,0.862215963,5,0
UK (Scotland),Aberdeen,Beach Esplanade,2022,38,57.17429,-2.08537,657,122,280,4.590163934,96,2.663934426,17331.823,61.89936786,9327.066,61.36227632,152,1.194330152,0.013157895,0,0,0,0,0,112,35,44.49534233,0.281826126,0.266942477,5.706563707,2.058693631,280.3300705,0.535464396,3.120465088,3.147300915,0.788455708,0,0
UK (Scotland),Aberdeen,Deeside Way 2- Peterculter,2022,38,57.09515,-2.26319,759,177,421,4.757062147,131,2.536723164,21803.665,51.79017815,11071.831,51.73752804,214,1.071221115,0.004672897,1,2,3,0,1130.266845,124,35,30127.43296,0.463451981,0.176810533,32.61776062,10.53018429,282.5730574,0.840213177,9.995761871,7.460314392,0.89925529,8,0
UK (Scotland),Aberdeen,Skene Rd,2022,38,57.14586,-2.20013,876,64,134,4.1875,56,2.90625,12891.356,96.20414925,7999.169,95.22820238,84,1.069523636,0.011904762,0,2,0,0,801.7390627,68,110,774.2399508,0.524278266,0.151019844,134.4131274,3.721374848,280.6102229,0.273611172,0.404668354,0.297195789,0.640867505,11,0
UK (Scotland),Aberdeen,Deeside Way 1 - Duthie Park,2022,38,57.13264,-2.1032963,1440,339,816,4.814159292,274,2.693215339,43189.003,52.92769975,23094.643,52.72749543,438,1.082849312,0.002283105,2,4,1,0,1623.72534,136,146,87629.2586,0.394125711,0.17104133,15.5390625,2.019058969,282.0816707,0.58417892,17.03537681,9.64882585,0.838121888,8,2
Netherlands,Almere,Farflerpad,2019,36,52.344117,5.181989,2596,237,629,5.308016878,199,2.894514768,34010.442,54.07065501,17202.676,53.92688401,319,1.148382762,0.012718601,0,0,0,0,1460.212979,26,26,25931.84654,0.578873443,0.230319101,-0.663265306,2.225137208,288.4132598,1.396374582,14.18952148,4.459174238,0.968948701,0,0
Netherlands,Almere,Realiteitspad,2019,37,52.391616,5.220202,4328,237,624,5.265822785,208,2.945147679,32591.629,52.23017468,17492.383,54.15598452,323,1.14211113,0.006410256,0,0,0,0,851.4585311,60,1,5722.321117,0.725273975,0.127390983,-1.969072165,2.132002632,288.1067798,0.5445049,15.77160305,3.180290657,0.828211398,3,0
Netherlands,Almere,Havendreef,2019,42,52.352566,5.194785,6076,248,599,4.830645161,204,2.85483871,32233.99,53.81300501,18567.201,56.60732012,328,1.133304161,0.016694491,0,0,0,0,1072.845065,66,28,84066.8241,0.452303817,0.213500232,-0.959322034,1.557390108,291.7801649,0.814144933,24.21351002,4.482147783,0.840651581,6,9
Netherlands,Almere,Guilmetpad,2019,36,52.33783,5.166146,6712,36,74,4.111111111,31,2.888888889,8810.121,119.0556892,4645.191,113.2973415,41,1.169614677,0,0,0,0,0,1150.732332,39,37,0,0.573109197,0.205903463,-2.612456747,1.300246391,288.5052261,1.392278414,8.618376465,1.390002939,0.839826507,0,0
Netherlands,Almere,Spoorbaanpad vanaf Jonsonspad,2019,36,52.38305,5.264791,6988,403,1187,5.890818859,376,3.203473945,54497.969,45.91235805,27551.266,45.76622259,602,1.01462422,0,0,0,0,0,1916.852078,0,0,32073.30036,0.570121626,0.189229392,-4.193877551,1.264304519,288.8944637,0.923852419,13.10307255,3.079896765,0.818879192,7,0
Netherlands,Almere,Tuinkruidenpad,2019,37,52.388698,5.205427,12888,217,574,5.290322581,179,2.926267281,27341.654,47.63354355,13822.265,47.49919244,291,1.060231762,0.006968641,0,0,0,0,1081.671848,43,39,16672.78622,0.644860532,0.174586834,-2.013793103,2.062760811,288.8705971,0.956881984,12.37248779,1.659028012,0.819582933,0,3
Netherlands,Almere,Dunloppad,2019,36,52.346795,5.190189,25076,163,409,5.018404908,140,2.969325153,25324.803,61.91883374,13365.81,61.03109589,219,1.118848977,0.014669927,0,0,0,0,1472.926403,73,0,0,0.61557952,0.217894324,-0.089655172,2.181164641,288.0911099,1.552727636,10.87049316,4.065848626,0.93096235,0,0
Netherlands,Almere,Markerkant,2019,37,52.380747,5.215017,27024,739,2199,5.951285521,673,3.128552097,78712.121,35.79450705,40562.933,36.51029073,1111,1.058942086,0.003638017,0,0,0,0,903.389089,0,23,86040.09348,0.399028121,0.214242208,-2.889655172,1.443736729,292.1494647,0.702593566,31.51555888,1.122922416,0.831728367,5,7
Netherlands,Almere,Krompoort,2019,36,52.34425,5.21894,28276,709,1917,5.407616361,622,2.916784203,73195.098,38.18210642,38057.987,38.5983641,986,1.116727668,0.006259781,0,0,0,0,1350.103722,39,55,65584.56453,0.52070279,0.180277653,-1.948453608,1.30321675,289.7331,0.908883428,22.69893705,4.340205545,0.99258379,24,5
Netherlands,Almere,Rooseveltbrug,2019,37,52.377701,5.221937,30232,629,1760,5.59618442,561,3.103338633,67273.408,38.22352727,36551.194,39.0921861,935,1.068996629,0.006818182,0,0,0,0,2838.11088,59,55,84526.81345,0.460766032,0.194600445,-1.95862069,1.826531901,290.590582,0.50846098,30.81876315,3.223827305,0.957512925,10,4
Netherlands,Almere,Transferium 't Oor,2019,36,52.355182,5.210387,30452,282,745,5.283687943,255,3.063829787,33856.818,45.44539329,18344.358,46.09135176,398,1.086899113,0,1,6,0,0,1025.613265,55,18,1476.644521,0.521790599,0.234218939,-2.489726027,1.847776504,289.6712823,1.078248567,10.97861808,1.54415469,0.859269823,9,6
Netherlands,Almere,Burgerspad,2019,42,52.352776,5.20065,31600,152,378,4.973684211,120,2.789473684,24381.875,64.50231481,12248.639,64.129,191,1.095601434,0.010582011,0,0,0,0,1079.273363,1,57,22011.66207,0.631904338,0.205938424,-0.249146758,2.08914984,288.6787243,1.122245861,14.23213989,2.645116062,0.808967217,0,0
Netherlands,Almere,Melissepad,2019,37,52.379162,5.210936,34108,743,2174,5.851951548,680,3.126514132,80543.868,37.04869733,42024.356,37.82570297,1111,1.049134304,0.000919963,0,0,0,0,1046.06239,31,33,70201.32162,0.476507191,0.174584538,-3.317406143,1.418408025,290.9463901,0.376662938,20.72979492,5.112834782,0.788820333,10,5
Netherlands,Almere,Ambachtsmarkt,2019,36,52.341719,5.224953,34504,759,2023,5.330698287,649,2.837944664,74362.841,36.7586955,38455.925,37.22742014,1033,1.128199178,0.004943154,0,0,0,1,826.8747631,26,57,96562.97664,0.462997018,0.194898564,-1.085324232,1.383553932,290.4036636,0.675271359,23.56679507,5.390130433,0.979118898,37,0
Netherlands,Almere,Clauspad,2019,37,52.385184,5.187083,38116,243,619,5.094650206,216,2.983539095,29991.92,48.45221325,15974.338,48.70225,328,1.080963709,0,0,0,0,0,1241.989683,41,36,19647.3651,0.489898239,0.296564407,-4.722222222,1.050426133,288.3210399,0.748550953,8.841072998,1.707360655,0.840036087,0,1
Netherlands,Almere,Hengelostraat,2019,37,52.366787,5.214433,38764,615,1752,5.697560976,550,3.042276423,62907.299,35.90599258,32067.719,35.59125305,901,1.10248032,0.011415525,0,0,9,0,2063.03751,46,56,142637.8637,0.20999483,0.221690649,-3.840136054,2.200406885,289.6514772,2.139725446,17.99829956,4.758692723,0.749325707,3,0
Netherlands,Almere,Busbaanbrug,2019,36,52.352676,5.172289,40724,494,1339,5.421052632,423,3.04048583,49290.352,36.81131591,27483.782,38.27824791,718,1.064408264,0,0,1,0,0,740.3708797,39,43,55706.16697,0.373424264,0.236727829,-4.757785467,0.874563624,291.2837394,0.85737801,13.60454853,2.125688027,0.855826633,5,5
Netherlands,Almere,Mandelapad,2019,37,52.375303,5.220429,41508,694,1943,5.599423631,618,3.131123919,73084.395,37.61420226,39500.198,38.01751492,1039,1.068898685,0.007205353,1,18,5,3,3496.179208,74,33,138338.5614,0.254331746,0.195889771,-1.644827586,2.181756048,291.2777183,1.086645127,31.52662598,3.117325503,0.829843519,5,5
Netherlands,Almere,Pedersenpad,2019,36,52.338087,5.230673,41932,805,2189,5.438509317,710,2.905590062,77864.526,35.57082047,40074.753,35.65369484,1124,1.096093107,0.004568296,0,0,0,1,2103.928441,55,37,40514.26006,0.572972746,0.18395491,-2.128027682,1.072240121,288.7214079,1.281866751,18.8707101,4.086453456,0.975443919,7,10
Netherlands,Almere,Landvoogdpad,2019,37,52.375944,5.213568,54844,836,2423,5.796650718,754,3.129186603,84370.911,34.82084647,44544.358,35.24078956,1264,1.068751135,0.005777961,0,0,0,0,2037.688967,0,57,99524.2503,0.351507284,0.177923015,-1.965753425,3.285323077,290.5775344,0.332783964,29.93953764,3.670671387,0.78524867,8,12
Netherlands,Almere,Zuidwoldepad,2019,37,52.371509,5.213761,55280,692,1921,5.552023121,614,3.080924855,75037.034,39.06144404,39687.977,38.94796565,1019,1.104845974,0.010411244,1,1,2,1,4109.314514,51,74,172642.2334,0.327663096,0.16644449,-2.204778157,1.529809944,291.549426,0.826777256,29.88887985,2.932150257,0.669014224,8,6
Netherlands,Almere,Ter Apelpad / Brug,2019,37,52.373065,5.21507,56288,807,2251,5.578686493,719,3.104089219,79798.381,35.45019147,43008.923,35.54456446,1210,1.086385907,0.00888494,2,0,9,1,2576.000427,61,0,146484.7522,0.317316757,0.171084369,-1.75,2.194911612,291.2719609,0.587520029,32.15920585,1.013187035,0.691999166,13,14
Netherlands,Almere,Kolkplein / Coevordenbrug,2019,37,52.370434,5.212797,57228,657,1882,5.729071537,585,3.092846271,75359.453,40.04221732,39127.364,39.88518247,981,1.126271433,0.01487779,0,1,1,1,3573.278774,49,49,185694.0889,0.35582433,0.171695032,-2.659722222,1.498439904,291.5631443,0.867968606,27.42164394,3.996928125,0.767551914,4,0
Netherlands,Almere,Cinemadreef tpv Stadswetering,2019,37,52.372506,5.225716,58360,690,1888,5.472463768,601,3.05942029,72111.701,38.19475689,38539.245,38.08225791,1012,1.044502012,0.003177966,0,0,0,0,2031.140095,23,23,83803.72758,0.409640276,0.193434396,-2.295918367,2.227880771,290.6485736,0.540896025,26.42701172,5.179995703,0.753924047,7,11
Netherlands,Almere,Pirellipad,2019,36,52.392738,5.247987,61224,225,622,5.528888889,200,2.964444444,35751.326,57.47801608,17875.663,57.47801608,311,1.058349258,0.009646302,0,0,0,0,1828.372099,26,35,27620.33507,0.573927161,0.174971921,-5.432525952,1.54397395,290.3067349,1.217523437,10.60463539,1.955494498,0.732427899,1,1
Netherlands,Almere,Slapstickpad,2019,37,52.373938,5.22297,66840,756,2052,5.428571429,674,3.126984127,75328.664,36.70987524,41553.15,36.74018568,1131,1.050344251,0.002923977,1,0,0,3,3125.182282,27,59,137033.6706,0.314495701,0.206251821,-2.348122867,1.952063289,291.0185215,1.129881434,28.40793283,5.03689378,0.749248583,6,13
Netherlands,Almere,Geuzenpad,2019,36,52.385521,5.257554,66972,414,1154,5.574879227,373,3.106280193,55476.976,48.07363605,28741.819,47.90303167,600,1.021189776,0,0,0,0,0,2781.411561,60,60,40564.90905,0.534126221,0.198249794,-5.15916955,1.237642307,289.4079145,0.988462162,12.39172363,3.392606277,0.816779928,3,6
Netherlands,Almere,Giethoornpad,2019,37,52.369562,5.213886,70552,655,1888,5.764885496,587,3.094656489,74985.333,39.71680773,38491.24,39.5187269,974,1.126592891,0.015889831,0,2,9,1,2937.134356,49,49,195997.241,0.313525097,0.183167,-2.338983051,1.511651577,291.930904,0.93621386,26.65100316,3.876141013,0.743605652,4,1
Netherlands,Almere,Tjaikowskypad,2019,36,52.365863,5.193832,71260,1031,2958,5.738118332,897,3.066925315,95657.685,32.3386359,48960.989,32.14772751,1523,1.034395703,0.000676133,0,0,0,0,1502.640688,48,0,91575.39682,0.411895588,0.187139212,-2.570446735,1.509768697,290.6592956,0.669295307,23.27776874,4.124494522,0.904952112,18,4
Netherlands,Almere,Fongerspad,2019,37,52.368851,5.226168,73744,502,1395,5.557768924,439,3.059760956,53661.52,38.46703943,28212.756,38.12534595,740,1.03912166,0.002867384,0,0,0,0,1602.984406,56,0,78735.44177,0.361303562,0.275556801,-2.569444444,2.664459445,289.8695975,2.362146217,14.78743896,6.014488176,0.969395681,4,1
Netherlands,Almere,Chopinpad,2019,36,52.367608,5.19125,79180,1027,3015,5.871470302,911,3.134371957,94928.424,31.48538109,48448.279,31.35810939,1545,1.038270218,0.0013267,7,2,2,1,2095.551995,2,40,95989.62661,0.334657716,0.162909121,-2.689419795,1.21247385,291.4632573,0.601162581,26.89291721,5.579257636,0.772810948,17,1
Netherlands,Almere,PJ Oudpad tpv voetg entree Schoutgarage (fietspad station),2019,37,52.374555,5.217674,83284,776,2173,5.600515464,699,3.149484536,78165.752,35.97135389,42747.527,36.44290452,1173,1.073300079,0.004601933,1,18,10,3,2140.429401,56,23,170350.5863,0.195626116,0.143602538,-0.627586207,2.580950981,291.6788524,0.815809279,33.13463867,0.532980255,0.49036842,8,7
Netherlands,Almere,Spoorbaanpad tpv Hoogezandbrug,2019,37,52.374016,5.213907,84040,782,2205,5.639386189,697,3.104859335,78942.396,35.80154014,42242.872,36.19783376,1167,1.088113151,0.009070295,0,0,0,0,2613.902386,33,57,108817.5342,0.366171519,0.165715887,-1.517241379,2.879423909,290.9451509,0.487622812,31.40597534,1.96662407,0.738471961,7,13
Netherlands,Almere,Deventerstraat,2019,37,52.367827,5.214491,141956,667,1886,5.655172414,593,3.058470765,68171.742,36.14620467,34922.455,35.7080317,978,1.111946318,0.01378579,0,0,10,1,2023.464481,55,27,174138.143,0.275114545,0.181343441,-3.256055363,1.844332855,290.9877577,1.694592782,21.12165889,5.144723259,0.646054595,2,0
Netherlands,Almere,Judy Garlandbrug,2019,37,52.370957,5.226206,153500,631,1730,5.483359746,539,3.017432647,64739.714,37.4218,34449.131,37.48545267,919,1.043588629,0.002312139,0,0,0,0,2099.689635,0,0,147031.9754,0.389156758,0.183479866,-1.571917808,2.020010957,290.8797034,0.963251016,24.99614746,5.844888216,0.838798797,10,9
Netherlands,Amersfoort,"Zeeuwsestraat, tussen Groningerstraat en Fries...",2020,12,52.158856,5.376232,395,600,1480,4.933333333,553,3.133333333,55935.222,37.79406892,35424.948,39.40483648,899,1.04133704,0.004449388,0,6,2,3,2200.683793,118,92,208293.9523,0.255741818,0.146214289,5.633561644,2.394193244,294.8317513,0.954049914,29.1364793,2.160143188,0.6619151,29,5
Netherlands,Amersfoort,"Tulpstraat, tussen Soesterweg en Noordewierweg...",2020,12,52.158253,5.367677,612,302,767,5.079470199,266,3,37498.256,48.88951239,20911.757,48.85924533,428,1.040758831,0.002336449,0,2,2,1,590.2279018,147,60,119121.8053,0.34699242,0.17659841,7.617241379,1.730570758,293.8711071,0.930848453,21.86618381,3.886269412,0.809084329,23,2
Netherlands,Amersfoort,"Fuchsiastraat, tussen Soesterweg en Lobeliastr...",2020,12,52.158051,5.363814,650,204,549,5.382352941,181,2.980392157,31484.522,57.3488561,16483.581,57.6348986,286,1.041276994,0,0,0,4,0,0,144,145,174017.559,0.256885953,0.112110366,7.119863014,1.162785971,294.7193366,0.50661295,24.64702061,2.275992009,0.588648914,19,1
Netherlands,Amersfoort,"Parelhoenstraat, tussen Jan van Riebeeckpad en...",2019,15,52.167002,5.398844,1350,683,1849,5.414348463,641,3.136163982,58790.567,31.79587182,32667.478,31.68523569,1031,1.019029449,0,1,1,0,0,2720.228809,140,150,68307.24826,0.407119954,0.156872102,3.153061224,1.692432381,292.8105932,0.574786025,30.46258981,1.856765123,0.790266997,11,5
Netherlands,Amersfoort,"Kruiskamp, tussen Scheltussingel en Van Brakel...",2019,19,52.16122,5.392568,2559,531,1349,5.080979284,492,3.069679849,54493.701,40.39562713,31471.763,41.03228553,767,1.027662475,0,0,4,0,0,416.1824865,145,9,131281.9125,0.342899299,0.152105819,4.46779661,1.644141183,293.5924076,0.503870325,30.78194956,1.844580326,0.869004251,14,4
Netherlands,Amersfoort,"Voltastraat, tussen Scheltemalaan en Leusderwe...",2019,45,52.141877,5.380262,3633,232,567,4.887931034,223,3.168103448,32171.17,56.7392769,18713.42,54.5580758,343,1.052332481,0.002915452,0,1,0,1,703.1245849,102,74,133785.9766,0.38695562,0.152428404,8.986348123,1.126693481,293.0611087,1.1387979,27.61029297,2.758340775,0.828266706,16,1
Netherlands,Amersfoort,"Fietsoversteek Ringweg Koppel, tussen Jachtpad...",2019,11,52.16473,5.379136,3913,516,1384,5.364341085,478,3.151162791,56250.32,40.6432948,32101.99,41.6908961,770,1.03431949,0.001298701,0,4,0,0,1972.362388,86,84,62980.12154,0.405283815,0.167464673,2.820338983,2.149874231,292.6063681,0.628646564,28.50836182,2.844572785,0.810826402,9,8
Netherlands,Amersfoort,"Liendertsedreef, tussen Korhoenstraat en Kwart...",2019,15,52.168443,5.399433,4419,590,1603,5.433898305,557,3.138983051,47234.598,29.4663743,26062.958,28.99105451,899,1.020113502,0,0,2,0,0,1783.511502,0,150,80474.10972,0.402083336,0.146105663,3.137457045,1.569141554,293.3180116,0.523397435,29.70532016,1.539558576,0.845765292,15,4
Netherlands,Amersfoort,"Piet Mondriaanplein, ter hoogte van P+R, Amers...",2020,12,52.155781,5.365727,4511,182,452,4.967032967,153,2.824175824,23993.231,53.08236947,12805.758,52.91635537,242,1.059448851,0,0,0,3,0,0,25,0,114117.2255,0.232892575,0.128904943,5.836177474,1.580746485,295.4018436,0.732203059,23.79611997,1.28719385,0.63708196,3,0
Netherlands,Amersfoort,"Piet Mondriaanplein, ter hoogte van Railcenter...",2020,12,52.155054,5.369962,4836,375,917,4.890666667,326,2.976,38254.182,41.71666521,22286.539,42.12956333,529,1.049489031,0.003780718,0,0,1,0,284.992893,23,0,99838.67003,0.220111789,0.13622364,5.781144781,1.500588449,294.9216884,0.629788286,27.58940711,2.126400111,0.666388227,7,0
Netherlands,Amersfoort,"Laan 1914, tussen Loes van Overeenlaan en Stic...",2019,14,52.136621,5.360992,7550,150,392,5.226666667,137,3.08,30620.569,78.11369643,16671.823,80.93117961,206,1.053037429,0,0,2,1,0,1022.004479,113,113,17551.00009,0.611653739,0.149907166,37.75342466,5.52275696,290.078445,0.843795427,7.178569946,2.261164068,0.595522956,5,1
Netherlands,Amersfoort,"Van Campenstraat, tussen Leusderweg en Graaf L...",2019,45,52.145075,5.38015,7690,296,770,5.202702703,279,3.118243243,38513.51,50.01754545,21708.146,49.56197717,438,1.043703733,0,0,2,4,2,1461.171948,0,85,157731.6968,0.304738053,0.141515752,9.444067797,1.649681139,294.1953664,0.758701786,29.63785129,1.154894067,0.816503469,12,4
Netherlands,Amersfoort,"Stephensonstraat, tussen Lorentzstraat en Dalt...",2019,45,52.143019,5.384941,8395,328,844,5.146341463,308,3.091463415,40550.835,48.04601303,22211.387,46.37032777,479,1.05050819,0.002087683,0,1,0,0,924.8231703,118,92,121399.9493,0.343140529,0.113153496,8.29109589,1.138156478,293.4279251,0.798171128,28.22742541,2.273393159,0.855170909,19,7
